TSC,CPU,DOM,vCPU,UOPS_RETIRED.ALL,UOPS_ISSUED.ANY,UOPS_ISSUED.ANY-stalls,RESOURCE_STALLS.ANY
23503672133612,0,32767,0,0,0,1511065,0
23503672313642,0,0,0,21584,20964,73204,2611
23503724854914,0,32767,0,0,0,881083,0
23503725075686,0,0,0,37687,38201,106636,2268
23504052079856,0,32767,0,0,0,5330545,0
23504052223006,0,0,0,8093,8402,42021,740
23504064737392,0,32767,0,0,0,273515,0
23504064957282,0,0,0,36999,37436,105096,1866
23504241776362,0,32767,0,0,0,2874261,0
23504242317410,0,0,0,268297,264954,326837,9517
23504278233346,0,32767,0,0,0,740307,0
23504278440602,0,0,0,27693,28157,97701,2348
23504404516460,0,32767,0,0,0,2105756,0
23504404748086,0,0,0,38445,38935,111798,1614
23504496096626,0,32767,0,0,0,1508574,0
23504496375518,0,0,0,54561,58254,157335,4489
23504540545896,0,32767,0,0,0,728435,0
23504540786866,0,0,0,29182,29488,120171,3529
23504547374584,0,32767,0,0,0,201957,0
23504547795730,0,0,0,98580,105949,281316,10617
23504576546464,0,32767,0,0,0,525449,0
23504576765106,0,0,0,23052,22705,101552,2804
23504666240538,0,32767,0,0,0,1484367,0
23504666536518,0,0,0,59339,63879,171306,7214
23504670170480,0,32767,0,0,0,122457,0
23504673954282,0,0,0,4122481,3732177,2449978,384443
23504744404984,0,32767,0,0,0,1310515,0
23504744775258,0,0,0,49380,49289,251315,3880
23504887442984,0,32767,0,0,0,2355574,0
23504887719828,0,0,0,52225,55003,156835,8122
23505084429046,0,32767,0,0,0,3186913,0
23505084662558,0,0,0,40760,41429,118072,2963
23505151125334,0,32767,0,0,0,1110129,0
23505151391918,0,0,0,12009,12231,163716,1178
23505424316116,0,32767,0,0,0,4418542,0
23505424537686,0,0,0,38620,39244,107774,2728
23505503690084,0,32767,0,0,0,1352483,0
23505503919934,0,0,0,32687,34727,116344,2705
23505580528750,0,32767,0,0,0,1267422,0
23505580857586,0,0,0,91381,92594,195021,11355
23505644718514,0,32767,0,0,0,1120006,0
23505644950778,0,0,0,35914,39086,119228,5603
23505764236504,0,32767,0,0,0,1961439,0
23505764466722,0,0,0,39177,40051,116078,2448
23505855750768,0,32767,0,0,0,1509104,0
23505856144154,0,0,0,53776,57404,270928,5218
23505883202980,0,32767,0,0,0,429898,0
23505883526138,0,0,0,90069,92674,190903,10097
23505940457000,0,32767,0,0,0,968816,0
23505940965398,0,0,0,246600,246050,311767,13669
23505951731570,0,32767,0,0,0,276543,0
23505951916226,0,0,0,25802,25106,74855,3648
23505976405922,0,32767,0,0,0,420116,0
23505976613650,0,0,0,28158,28866,99008,2601
23506026005930,0,32767,0,0,0,824254,0
23506026415842,0,0,0,59690,64533,284297,6790
23506030105352,0,32767,0,0,0,48174,0
23506033956274,0,0,0,4139981,3751502,2500021,382472
23506104127084,0,32767,0,0,0,1424412,0
23506104362482,0,0,0,39784,41173,120783,3211
23506268936720,0,32767,0,0,0,2730730,0
23506269131736,0,0,0,18118,20495,79991,1972
23506269786458,0,32767,0,0,0,49242,0
23506269977742,0,0,0,22537,23576,75606,2757
23506444020070,0,32767,0,0,0,2875206,0
23506444243586,0,0,0,39433,39831,108130,2808
23506783888940,0,32767,0,0,0,5551607,0
23506784113518,0,0,0,40247,40487,106440,2498
23506820227180,0,32767,0,0,0,593800,0
23506820418274,0,0,0,22985,23042,73719,2688
23506833746250,0,32767,0,0,0,276649,0
23506834016626,0,0,0,26181,25970,162328,62746
23506834984352,0,32767,0,0,0,49369,0
23506835254178,0,0,0,5092,5299,161580,37
23506847315004,0,32767,0,0,0,188578,0
23506847464886,0,0,0,9403,9423,48986,457
23507123863334,0,32767,0,0,0,4541683,0
23507124042194,0,0,0,39064,38914,103125,1978
23507172977452,0,32767,0,0,0,801512,0
23507173864922,0,0,0,83990,83256,759611,2244
23507215754866,0,32767,0,0,0,729932,0
23507216031094,0,0,0,53205,56916,154585,4452
23507385894376,0,32767,0,0,0,2802922,0
23507386141222,0,0,0,46907,49037,128955,4523
23507463697860,0,32767,0,0,0,1275826,0
23507463949522,0,0,0,48587,48180,134334,2496
23507638931888,0,32767,0,0,0,2891787,0
23507639549950,0,0,0,245987,245564,422539,13123
23507647926724,0,32767,0,0,0,125942,0
23507648108866,0,0,0,24773,24452,73308,2776
23507674577446,0,32767,0,0,0,575118,0
23507674785250,0,0,0,27842,28940,98482,2681
23507803515534,0,32767,0,0,0,2104759,0
23507803746734,0,0,0,39567,40732,116778,2016
23508143402230,0,32767,0,0,0,5576086,0
23508143624662,0,0,0,39008,39637,108069,2205
23508483277034,0,32767,0,0,0,5565528,0
23508483499758,0,0,0,38658,39020,108183,1699
23508543416454,0,32767,0,0,0,1051241,0
23508543568010,0,0,0,12716,12570,50050,1839
23508574647308,0,32767,0,0,0,491669,0
23508574923266,0,0,0,53161,57078,154874,4174
23508744785440,0,32767,0,0,0,2800059,0
23508745071342,0,0,0,58777,62782,160670,6943
23508748699724,0,32767,0,0,0,129146,0
23508752447914,0,0,0,4118782,3725407,2412319,371160
23508823155288,0,32767,0,0,0,1361572,0
23508823389286,0,0,0,38717,39494,118187,2369
23508899687138,0,32767,0,0,0,1270181,0
23508899917746,0,0,0,32579,35167,117725,3160
23509041991282,0,32767,0,0,0,2330342,0
23509042224802,0,0,0,36390,40090,119169,4760
23509163094428,0,32767,0,0,0,2059468,0
23509163324618,0,0,0,39301,39967,115947,2554
23509337705466,0,32767,0,0,0,2855592,0
23509338162858,0,0,0,246300,245069,299749,11405
23509344013196,0,32767,0,0,0,117137,0
23509344198942,0,0,0,27001,26508,74530,3870
23509372749588,0,32767,0,0,0,504069,0
23509377051018,0,0,0,6761914,6800626,1904971,463708
23509384832076,0,32767,0,0,0,180798,0
23509384974184,0,0,0,28221,27254,71573,2355
23509398351172,0,32767,0,0,0,196505,0
23509398543366,0,0,0,25397,25459,74186,2898
23509503136258,0,32767,0,0,0,1789137,0
23509503323986,0,0,0,38791,39809,111515,2234
23509559984930,0,32767,0,0,0,930642,0
23509560123074,0,0,0,10259,11234,74074,1094
23509664245648,0,32767,0,0,0,1770430,0
23509664432290,0,0,0,17976,19923,80791,5808
23509669148924,0,32767,0,0,0,137765,0
23509669331146,0,0,0,16813,18133,75538,1105
23509843031256,0,32767,0,0,0,2776758,0
23509843260942,0,0,0,38574,38956,105362,2018
23509934241654,0,32767,0,0,0,1577208,0
23509934523846,0,0,0,53422,56460,157815,5207
23510104380416,0,32767,0,0,0,2794841,0
23510104669766,0,0,0,58717,62845,162725,6680
23510108305528,0,32767,0,0,0,47598,0
23510112142310,0,0,0,4132251,3744610,2497507,389471
23510182918138,0,32767,0,0,0,1422751,0
23510183179014,0,0,0,49932,50103,142474,3579
23510212631578,0,32767,0,0,0,555717,0
23510212790398,0,0,0,25670,26209,88592,3564
23510226040822,0,32767,0,0,0,200758,0
23510226189098,0,0,0,8489,8463,47874,402
23510239608760,0,32767,0,0,0,269793,0
23510239766418,0,0,0,10927,11061,54821,520
23510470289666,0,32767,0,0,0,3795510,0
23510470470398,0,0,0,22411,22314,73777,2912
23510522831498,0,32767,0,0,0,893931,0
23510523052250,0,0,0,37940,38596,107332,2611
23510862726462,0,32767,0,0,0,5552071,0
23510862947982,0,0,0,38490,39132,107987,2328
23510999501876,0,32767,0,0,0,2281760,0
23510999672970,0,0,0,18454,18439,66364,2769
23511037633130,0,32767,0,0,0,645777,0
23511038150854,0,0,0,258048,259731,317309,12831
23511040220066,0,32767,0,0,0,98917,0
23511040341750,0,0,0,24546,23886,53723,2711
23511074928428,0,32767,0,0,0,653204,0
23511075136786,0,0,0,28085,29435,99174,2886
23511202512866,0,32767,0,0,0,2112481,0
23511202742678,0,0,0,38412,38586,114912,1661
23511293904552,0,32767,0,0,0,1491126,0
23511294193022,0,0,0,53866,57734,155640,4794
23511340740912,0,32767,0,0,0,808175,0
23511341175766,0,0,0,100285,108328,284287,10988
23511464055324,0,32767,0,0,0,2054666,0
23511464313034,0,0,0,48692,50853,137967,5335
23511487966208,0,32767,0,0,0,426138,0
23511488202754,0,0,0,29619,29743,114957,3512
23511508539930,0,32767,0,0,0,432828,0
23511508704030,0,0,0,22423,21732,95255,2761
23511542398346,0,32767,0,0,0,590415,0
23511542628866,0,0,0,40241,41051,115475,2726
23511680824806,0,32767,0,0,0,2261117,0
23511681083722,0,0,0,51951,53487,139005,4788
23511778302296,0,32767,0,0,0,1658172,0
23511778473958,0,0,0,10535,11068,70974,459
23511882243854,0,32767,0,0,0,1725543,0
23511882431206,0,0,0,40042,40191,110973,2275
23511935711110,0,32767,0,0,0,887818,0
23511935863370,0,0,0,11479,11607,50548,1717
23512124641410,0,32767,0,0,0,3124202,0
23512124879630,0,0,0,31746,36083,126053,5771
23512222093782,0,32767,0,0,0,1581101,0
23512222322030,0,0,0,38814,40001,114432,2720
23512295669188,0,32767,0,0,0,1307112,0
23512295903710,0,0,0,32581,34609,117645,3214
23512437196932,0,32767,0,0,0,2357526,0
23512437426590,0,0,0,36160,39233,116692,5149
23512561977290,0,32767,0,0,0,2023931,0
23512562227170,0,0,0,49051,48661,131827,3333
23512652914532,0,32767,0,0,0,1504254,0
23512653309330,0,0,0,55480,58824,271884,8603
23512736329732,0,32767,0,0,0,1358025,0
23512736823434,0,0,0,246985,246921,297629,9959
23512749882862,0,32767,0,0,0,270769,0
23512750064822,0,0,0,25579,25185,74271,3252
23512773100520,0,32767,0,0,0,427566,0
23512773307262,0,0,0,27899,29160,97344,2573
23512823172098,0,32767,0,0,0,823209,0
23512823577134,0,0,0,58836,62944,279769,7047
23512827261150,0,32767,0,0,0,48058,0
23512831043358,0,0,0,4120980,3732936,2438265,380827
23512901928168,0,32767,0,0,0,1402701,0
23512902169254,0,0,0,39366,40888,116056,2572
23512964809170,0,32767,0,0,0,1045765,0
23512965304822,0,0,0,82146,89841,352600,10392
23512965737652,0,32767,0,0,0,49857,0
23512966108974,0,0,0,96598,101537,224021,7304
23513053976304,0,32767,0,0,0,1446862,0
23513054159694,0,0,0,17852,20017,78404,2278
23513203781434,0,32767,0,0,0,2499619,0
23513305496650,0,0,0,65547641,57250576,81247590,13055018
23513407268098,0,0,0,124565600,191031188,34615810,5719161
23513509039942,0,0,0,129390618,190525123,35342116,7753444
23513610815514,0,0,0,125527886,131121319,62769029,53789704
23513712588882,0,0,0,37385042,33725711,91555187,14242835
23513814356954,0,0,0,80405,72734,101677256,31953
23513916133150,0,0,0,54311,46540,101694774,6765
23514017912758,0,0,0,2924017,2589293,100878148,2916489
23514119692742,0,0,0,47221472,36700046,89603826,25314308
23514221467594,0,0,0,65463972,65523330,78859390,4629524
23514285411210,0,0,0,45959161,51308122,45779914,4305502
23514296718586,0,32767,0,0,0,308495,0
23514296898606,0,0,0,45286,48052,100523,12462
23514303721138,0,32767,0,0,0,309663,0
23514304003538,0,0,0,57532,55154,199805,21580
23514310295948,0,32767,0,0,0,174076,0
23514310515808,0,0,0,33954,35790,145074,13016
23514311348796,0,32767,0,0,0,53079,0
23514311475304,0,0,0,5945,6177,64038,369
23514329877872,0,32767,0,0,0,551925,0
23514330326488,0,0,0,76938,87294,353585,30643
23514351944014,0,32767,0,0,0,735182,0
23514203265842,1,32767,1,0,0,644020941,0
23514305142986,1,4,0,78837053,61452219,80858092,933870
23514352237910,0,0,0,53731,54510,211974,11233
23514434758220,0,32767,0,0,0,2468996,0
23514436255424,0,0,0,253077,260456,1332400,151039
23514446023704,0,32767,0,0,0,400296,0
23514446471696,0,0,0,26495,27323,377028,53539
23514450630340,0,32767,0,0,0,195145,0
23514451216540,0,0,0,143031,137052,423592,41242
23514451289896,0,32767,0,0,0,16429,0
23514451515068,0,0,0,44610,41307,77660,4381
23514451701904,0,32767,0,0,0,15123,0
23514451846072,0,0,0,47120,41414,67866,4656
23514452327188,0,32767,0,0,0,16024,0
23514452476944,0,0,0,46319,40672,75248,4357
23514453069812,0,32767,0,0,0,15574,0
23514453219188,0,0,0,45418,40509,74314,4130
23514454244316,0,32767,0,0,0,15436,0
23514454390060,0,0,0,45689,40365,71355,4063
23514454805356,0,32767,0,0,0,253679,0
23514454954968,0,0,0,46233,40042,74631,4231
23514455409888,0,32767,0,0,0,16596,0
23514455685112,0,0,0,121540,106673,174066,7826
23514471087280,0,32767,0,0,0,371825,0
23514471261120,0,0,0,30562,30860,102245,5280
23514483124152,0,32767,0,0,0,363094,0
23514483419628,0,0,0,90037,87636,201829,21656
23514549610172,0,32767,0,0,0,1878512,0
23514549849260,0,0,0,50355,52359,157364,7238
23514550126340,0,32767,0,0,0,21159,0
23514550286804,0,0,0,44966,42326,85075,4638
23514550442956,0,32767,0,0,0,24914,0
23514550591648,0,0,0,44352,39196,73248,4181
23514638988336,0,32767,0,0,0,2360900,0
23514639335372,0,0,0,55512,56436,262823,5902
23514640906440,0,32767,0,0,0,44423,0
23514641128372,0,0,0,44911,46153,141832,5940
23514663385942,0,32767,0,0,0,701435,0
23514663617862,0,0,0,52993,55651,149276,6872
23514673349628,0,32767,0,0,0,317264,0
23514673582284,0,0,0,21358,23182,162643,5730
23514674466904,0,32767,0,0,0,50107,0
23514674607944,0,0,0,11348,12215,75939,624
23514691706892,0,32767,0,0,0,583444,0
23514406925798,1,4,0,105326368,85554019,73168830,9941860
23514450686038,1,4,0,75824714,62664109,23219683,19739350
23514450752334,1,4,0,78,117,8000,0
23514450815346,1,4,0,78,73,5842,0
23514450878130,1,4,0,78,73,5674,0
23514451069054,1,4,0,138824,133015,85232,3198
23514451192858,1,32767,1,0,0,20508,0
23514451353070,1,4,0,64146,57295,76115,4807
23514451439082,1,32767,1,0,0,12944,0
23514451551186,1,4,0,469,488,14132,0
