TSC,CPU,DOM,vCPU,PKG,PP0,PP1,DRAM
23759681166268,3,6,0,2449910264,842227059,162967880,0
23759684493572,0,0,0,2449912077,842228645,162967899,0
23759810888540,0,32767,0,2449983051,842291094,162968604,0
23759811060948,0,0,0,2449983051,842291094,162968604,0
23760024061232,0,32767,0,2450104182,842397743,162969802,0
23759771206994,2,5,0,2449960004,842270813,162968375,0
23759872979998,2,5,0,2450017707,842321603,162968946,0
23759974752982,2,5,0,2450075304,842372311,162969516,0
23759782939332,3,6,0,2449967667,842277550,162968452,0
23759884712032,3,6,0,2450025309,842328287,162969022,0
23759986484924,3,6,0,2450082966,842379053,162969592,0
23760024286640,0,0,0,2450104182,842397743,162969802,0
23760047291552,0,32767,0,2450115789,842407973,162969917,0
23760047507904,0,0,0,2450117716,842409671,162969936,0
23760047998444,0,32767,0,2450117716,842409671,162969936,0
23760048240936,0,0,0,2450117716,842409671,162969936,0
23760197966632,0,32767,0,2450202701,842484546,162970775,0
23760198189064,0,0,0,2450202701,842484546,162970775,0
23760260047184,0,32767,0,2450237451,842515172,162971117,0
23760260418904,0,0,0,2450237451,842515172,162971117,0
23760263423440,0,32767,0,2450239513,842516997,162971137,0
23760263660396,0,0,0,2450239513,842516997,162971137,0
23760363855388,0,32767,0,2450297122,842567745,162971708,0
23760076525810,2,5,0,2450133784,842423900,162970089,0
23760178299094,2,5,0,2450191360,842474578,162970661,0
23760280072310,2,5,0,2450249119,842525463,162971232,0
23760088258824,3,6,0,2450139531,842428953,162970147,0
23760190031260,3,6,0,2450197049,842479578,162970718,0
23760291803936,3,6,0,2450254832,842530492,162971289,0
23760364091016,0,0,0,2450297122,842567745,162971708,0
23760477685842,0,32767,0,2450360530,842623581,162972336,0
23760478168558,0,0,0,2450360530,842623581,162972336,0
23760482223304,0,32767,0,2450362558,842625381,162972355,0
23760482371464,0,0,0,2450362558,842625381,162972355,0
23760508775606,0,32767,0,2450377889,842638877,162972507,0
23760509056790,0,0,0,2450377889,842638877,162972507,0
23760703662028,0,32767,0,2450488052,842735916,162973593,0
23760381844914,2,5,0,2450306806,842576280,162971803,0
23760483642978,2,5,0,2450364543,842627135,162972374,0
23760585393930,2,5,0,2450422683,842678358,162972945,0
23760687164354,2,5,0,2450480360,842729149,162973516,0
23760393577172,3,6,0,2450312530,842581317,162971860,0
23760495349820,3,6,0,2450370226,842632133,162972431,0
23760597146196,3,6,0,2450428399,842683388,162973002,0
23760698896432,3,6,0,2450486183,842734282,162973573,0
23760703975904,0,0,0,2450490024,842737657,162973612,0
23760704977462,0,32767,0,2450490024,842737657,162973612,0
23760705249846,0,0,0,2450490024,842737657,162973612,0
23760769622496,0,32767,0,2450527940,842771152,162973973,0
23760770353100,0,0,0,2450527940,842771152,162973973,0
23760780752960,0,32767,0,2450533980,842776490,162974031,0
23760780910600,0,0,0,2450533980,842776490,162974031,0
23760805187820,0,32767,0,2450547553,842788458,162974165,0
23760805375452,0,0,0,2450547553,842788458,162974165,0
23760945786468,0,32767,0,2450628694,842859971,162974964,0
23760946080380,0,0,0,2450628694,842859971,162974964,0
23761014348552,0,32767,0,2450667449,842894081,162975346,0
23761014643944,0,0,0,2450667449,842894081,162975346,0
23761043543472,0,32767,0,2450683123,842907863,162975499,0
23760788937430,2,5,0,2450539805,842781636,162974088,0
23760890710106,2,5,0,2450598019,842832975,162974659,0
23760992486754,2,5,0,2450654109,842882345,162975212,0
23760800671848,3,6,0,2450545614,842786747,162974146,0
23760902442652,3,6,0,2450603838,842838094,162974717,0
23761004215556,3,6,0,2450661703,842889032,162975288,0
23761043853136,0,0,0,2450685086,842909596,162975518,0
23761071677820,0,32767,0,2450700484,842923155,162975671,0
23761071852416,0,0,0,2450700484,842923155,162975671,0
23761255683950,0,32767,0,2450804227,843014512,162976698,0
23761255846762,0,0,0,2450804227,843014512,162976698,0
23761269303150,0,32767,0,2450811871,843021247,162976774,0
23761269413466,0,0,0,2450811871,843021247,162976774,0
23761383418688,0,32767,0,2450875104,843076897,162977403,0
23761094257622,2,5,0,2450712247,842933536,162975785,0
23761196029442,2,5,0,2450769785,842984199,162976355,0
23761297802022,2,5,0,2450827232,843034772,162976927,0
23761105991152,3,6,0,2450719885,842940258,162975861,0
23761207761096,3,6,0,2450777331,842990833,162976431,0
23761309534932,3,6,0,2450834895,843041520,162977003,0
23761383647856,0,0,0,2450877017,843078588,162977422,0
23761595015012,0,32767,0,2450995707,843183037,162978603,0
23761595233372,0,0,0,2450995707,843183037,162978603,0
23761617293948,0,32767,0,2451007282,843193236,162978717,0
23761617468168,0,0,0,2451007282,843193236,162978717,0
23761618713068,0,32767,0,2451009265,843194985,162978736,0
23761619161428,0,0,0,2451009265,843194985,162978736,0
23761622708266,0,32767,0,2451011350,843196836,162978755,0
23761627650670,0,0,0,2451013643,843198880,162978774,0
23761677533516,0,32767,0,2451046459,843225236,162981411,0
23761677721868,0,0,0,2451046459,843225236,162981411,0
23761723215516,0,32767,0,2451071511,843247295,162981659,0
23761399575234,2,5,0,2450884738,843085389,162977498,0
23761501348018,2,5,0,2450942181,843135937,162978069,0
23761603121054,2,5,0,2450999667,843186535,162978641,0
23761704894398,2,5,0,2451061970,843238899,162981564,0
23761411307436,3,6,0,2450892431,843092158,162977575,0
23761513080544,3,6,0,2450949784,843142624,162978145,0
23761614853272,3,6,0,2451007282,843193236,162978717,0
23761716626812,3,6,0,2451067771,843244010,162981621,0
23761723569752,0,0,0,2451071511,843247295,162981659,0
23762002010708,0,32767,0,2451228268,843385190,162983220,0
23762002175188,0,0,0,2451228268,843385190,162983220,0
23762023761146,0,32767,0,2451241680,843396995,162983353,0
23762024069622,0,0,0,2451241680,843396995,162983353,0
23762031379016,0,32767,0,2451245729,843400556,162983392,0
23762031644880,0,0,0,2451245729,843400556,162983392,0
23762063236412,0,32767,0,2451264067,843416713,162983563,0
23761806667498,2,5,0,2451119522,843289556,162982136,0
23761908440298,2,5,0,2451176950,843340078,162982707,0
23762010213254,2,5,0,2451234005,843390240,162983277,0
23761818399816,3,6,0,2451125179,843294526,162982193,0
23761920172696,3,6,0,2451182612,843345054,162982764,0
23762021945796,3,6,0,2451239741,843395288,162983334,0
23762063605256,0,0,0,2451264067,843416713,162983563,0
23762297863040,0,32767,0,2451396136,843532903,162984881,0
23762298064036,0,0,0,2451396136,843532903,162984881,0
23762317393812,0,32767,0,2451407655,843543038,162984996,0
23762317545076,0,0,0,2451407655,843543038,162984996,0
23762321786960,0,32767,0,2451409574,843544736,162985015,0
23762321929180,0,0,0,2451409574,843544736,162985015,0
23762346386648,0,32767,0,2451425257,843558575,162985168,0
23762346546820,0,0,0,2451425257,843558575,162985168,0
23762386952028,0,32767,0,2451448252,843578807,162985396,0
23762387103312,0,0,0,2451448252,843578807,162985396,0
23762403075058,0,32767,0,2451456241,843585874,162985473,0
23762111900374,2,5,0,2451293024,843442222,162983850,0
23762213671114,2,5,0,2451350272,843492566,162984423,0
23762315444362,2,5,0,2451407655,843543038,162984996,0
23762123632788,3,6,0,2451298773,843447277,162983908,0
23762225404012,3,6,0,2451355975,843497579,162984480,0
23762327176472,3,6,0,2451413652,843548345,162985054,0
23762403299054,0,0,0,2451456241,843585874,162985473,0
23762468139088,0,32767,0,2451492610,843617867,162985836,0
23762468852984,0,0,0,2451494567,843619593,162985855,0
23762476852926,0,32767,0,2451498464,843623035,162985892,0
23762477005986,0,0,0,2451498464,843623035,162985892,0
23762503163072,0,32767,0,2451513785,843636510,162986045,0
23762503350576,0,0,0,2451513785,843636510,162986045,0
23762579952334,0,32767,0,2451555967,843673630,162986464,0
23762580255254,0,0,0,2451555967,843673630,162986464,0
23762742870496,0,32767,0,2451649109,843755690,162987379,0
23762417217030,2,5,0,2451465884,843594371,162985568,0
23762518990018,2,5,0,2451521538,843643343,162986121,0
23762620765522,2,5,0,2451580029,843694894,162986692,0
23762722536266,2,5,0,2451637531,843745491,162987264,0
23762428949628,3,6,0,2451471763,843599550,162985626,0
23762530722256,3,6,0,2451529172,843650058,162986197,0
23762632498276,3,6,0,2451587776,843701716,162986769,0
23762734269204,3,6,0,2451645250,843752290,162987341,0
23762743205716,0,0,0,2451649109,843755690,162987379,0
23762965359156,0,32767,0,2451775110,843866499,162988636,0
23762965484412,0,0,0,2451775110,843866499,162988636,0
23762979066884,0,32767,0,2451782737,843873208,162988712,0
23762979521384,0,0,0,2451782737,843873208,162988712,0
23762983068240,0,32767,0,2451784768,843875004,162988731,0
23762988038444,0,0,0,2451787005,843876994,162988750,0
23763082770556,0,32767,0,2451844127,843924691,162991594,0
23762824309566,2,5,0,2451695057,843796115,162987835,0
23762926082498,2,5,0,2451752197,843846342,162988408,0
23763027949922,2,5,0,2451813486,843897741,162991289,0
23762836041304,3,6,0,2451702713,843802843,162987912,0
23762937814788,3,6,0,2451759748,843852979,162988484,0
23763039588056,3,6,0,2451821189,843904520,162991366,0
23763083066512,0,0,0,2451844127,843924691,162991594,0
23763422629058,0,32767,0,2452035070,844092607,162993501,0
23763129628458,2,5,0,2451870867,843948202,162991860,0
23763231401402,2,5,0,2451928040,843998471,162992431,0
23763333174218,2,5,0,2451985323,844048847,162993004,0
23763141452540,3,6,0,2451876544,843953189,162991917,0
23763243133252,3,6,0,2451933801,844003527,162992489,0
23763344906676,3,6,0,2451991131,844053961,162993062,0
23763422857410,0,0,0,2452035070,844092607,162993501,0
23763593865680,0,32767,0,2452132493,844178279,162994473,0
23763594089764,0,0,0,2452132493,844178279,162994473,0
23763619867268,0,32767,0,2452145846,844190017,162994607,0
23763620181712,0,0,0,2452145846,844190017,162994607,0
23763657365402,0,32767,0,2452167442,844209026,162994817,0
23763657652714,0,0,0,2452167442,844209026,162994817,0
23763762425380,0,32767,0,2452226612,844261057,162995408,0
23763434947470,2,5,0,2452042754,844099372,162993577,0
